Score: 99.0, Count: 2
Score: 91.0, Count: 17
Score: 89.0, Count: 9
Score: 88.0, Count: 7
Score: 87.0, Count: 7
Score: 86.0, Count: 5
Score: 85.0, Count: 8
Score: 84.0, Count: 42
Score: 83.0, Count: 70
Score: 82.0, Count: 65
Score: 81.0, Count: 71
Score: 80.0, Count: 87
Score: 79.0, Count: 117
Score: 78.0, Count: 188
Score: 77.0, Count: 360
Score: 76.0, Count: 430
Score: 75.0, Count: 623
Score: 74.0, Count: 712
Score: 73.0, Count: 976
Score: 72.0, Count: 1391
Score: 71.0, Count: 1897
Score: 70.0, Count: 2223
Score: 69.0, Count: 2712
Score: 68.0, Count: 3282
Score: 67.0, Count: 3744
Score: 66.0, Count: 3930
Score: 65.0, Count: 4073
Score: 64.0, Count: 3979
Score: 63.0, Count: 3391
Score: 62.0, Count: 2558
Score: 61.0, Count: 1645
Score: 60.0, Count: 876
Score: 59.0, Count: 345
Score: 58.0, Count: 120
Score: 57.0, Count: 35
Score: 56.0, Count: 2
Score: 55.0, Count: 1
