Score: 100.0, Count: 1
Score: 91.0, Count: 10
Score: 90.0, Count: 2
Score: 89.0, Count: 10
Score: 88.0, Count: 6
Score: 87.0, Count: 5
Score: 86.0, Count: 1
Score: 85.0, Count: 5
Score: 84.0, Count: 39
Score: 83.0, Count: 91
Score: 82.0, Count: 79
Score: 81.0, Count: 83
Score: 80.0, Count: 72
Score: 79.0, Count: 125
Score: 78.0, Count: 216
Score: 77.0, Count: 374
Score: 76.0, Count: 444
Score: 75.0, Count: 621
Score: 74.0, Count: 743
Score: 73.0, Count: 882
Score: 72.0, Count: 1471
Score: 71.0, Count: 1910
Score: 70.0, Count: 2196
Score: 69.0, Count: 2649
Score: 68.0, Count: 3314
Score: 67.0, Count: 3741
Score: 66.0, Count: 4115
Score: 65.0, Count: 4148
Score: 64.0, Count: 3813
Score: 63.0, Count: 3274
Score: 62.0, Count: 2519
Score: 61.0, Count: 1611
Score: 60.0, Count: 900
Score: 59.0, Count: 404
Score: 58.0, Count: 95
Score: 57.0, Count: 25
Score: 56.0, Count: 5
Score: 55.0, Count: 1
